danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.622,0.279,9,-13.058,0,0.0319,0.91,0.00105,0.147,0.137,112.388,4,184,0,0,30,0,427800,11,nominee
0.466,0.601,4,-10.365,0,0.0369,0.436,0.139,0.0858,0.736,179.083,4,184,0,0,31,0,364893,11,nominee
0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,4,184,0,0,71,0,268333,11,nominee
0.599,0.131,5,-15.064,0,0.0414,0.92,1.65e-05,0.122,0.404,145.402,4,184,0,0,32,0,345373,11,nominee
0.417,0.239,0,-12.447,1,0.0311,0.766,0.000491,0.104,0.386,178.515,4,184,0,0,38,0,295960,11,nominee
0.762,0.346,4,-12.959,0,0.0344,0.629,0.000126,0.0971,0.297,119.968,4,185,0,0,28,0,282506,13,winner
0.595,0.212,2,-14.5,0,0.0325,0.81,0.000207,0.116,0.174,110.945,4,185,0,0,23,0,326933,13,winner
0.72,0.461,9,-9.521,0,0.0436,0.208,8.08e-05,0.213,0.294,124.891,4,185,0,0,27,0,230933,13,winner
0.52,0.223,4,-15.125,1,0.0307,0.845,0.119,0.0838,0.0788,89.003,4,185,0,0,24,0,328866,13,winner
0.836,0.414,4,-12.831,0,0.0274,0.413,0.0233,0.09,0.713,100.022,4,185,0,0,19,0,342400,13,winner
0.696,0.478,5,-13.305,1,0.0598,0.37,0.00105,0.175,0.543,95.018,4,185,0,0,21,0,208306,13,winner
0.334,0.188,1,-15.088,0,0.0529,0.771,8.57e-05,0.113,0.28,182.58,4,185,0,0,24,0,141373,13,winner
0.709,0.372,5,-13.71,1,0.029,0.413,0.0853,0.131,0.401,141.98,4,185,0,0,17,0,226933,13,winner
0.342,0.307,9,-11.362,1,0.0307,0.501,0.00346,0.191,0.151,91.301,3,185,0,0,17,0,314773,13,winner
0.67,0.58,2,-10.551,1,0.0307,0.524,0.00754,0.177,0.673,137.897,4,185,0,0,17,0,293600,13,winner
0.701,0.373,4,-11.51,1,0.0285,0.571,2.86e-06,0.0989,0.344,104.048,4,185,0,0,19,0,236600,13,winner
0.499,0.234,11,-14.486,1,0.0423,0.824,0.00116,0.105,0.335,97.58,4,185,0,0,20,0,147533,13,winner
0.33,0.393,2,-13.055,1,0.0405,0.0576,0.00394,0.152,0.24,178.913,5,185,0,0,13,0,141333,13,winner
0.44,0.784,7,-7.688,1,0.0624,0.00149,0.000266,0.998,0.424,79.015,4,184,0,0,40,0,310960,17,nominee
0.593,0.749,0,-7.828,1,0.0551,0.249,0.000477,0.431,0.646,120.987,4,184,0,0,38,0,279066,17,nominee
0.53,0.809,4,-7.334,1,0.0365,0.0988,4.95e-05,0.826,0.582,119.483,4,184,0,0,38,0,208733,17,nominee
0.528,0.635,9,-9.716,0,0.0457,0.219,0.00032,0.815,0.325,125.951,4,184,0,0,38,0,408373,17,nominee
0.452,0.752,5,-6.449,0,0.0617,0.000131,0.864,0.691,0.507,113.149,4,184,0,0,36,0,465333,17,nominee
0.455,0.886,2,-7.663,1,0.138,0.0684,9.67e-06,0.282,0.792,80.767,4,184,0,0,34,0,240706,17,nominee
0.393,0.852,8,-7.782,1,0.0321,0.0453,0.378,0.691,0.8,84.539,4,184,0,0,36,0,207000,17,nominee
0.469,0.621,1,-9.828,0,0.0313,0.876,0.0246,0.712,0.683,138.931,4,184,0,0,41,0,186160,17,nominee
0.399,0.426,10,-10.262,1,0.0446,0.834,0.000241,0.686,0.433,145.179,4,184,0,0,44,0,268200,17,nominee
0.589,0.816,9,-8.442,1,0.142,0.156,4.94e-06,0.643,0.739,140.787,4,184,0,0,33,0,299866,17,nominee
0.325,0.911,5,-7.152,1,0.123,0.00676,0.00938,0.167,0.84,168.282,4,184,0,0,32,0,213066,17,nominee
0.35,0.508,0,-7.584,1,0.025,0.269,2.37e-06,0.671,0.286,81.719,4,184,0,0,63,0,341733,17,nominee
0.571,0.801,7,-7.227,0,0.0342,0.0399,0.0183,0.695,0.802,128.941,4,184,0,0,35,0,229840,17,nominee
0.513,0.67,9,-6.944,1,0.0286,0.167,9.71e-06,0.961,0.586,94.382,4,184,0,0,33,0,198986,17,nominee
0.5,0.891,5,-6.113,1,0.0437,0.000378,0.0375,0.72,0.887,131.546,4,184,0,0,37,0,300466,17,nominee
0.621,0.791,7,-7.686,1,0.0491,0.0287,0.692,0.676,0.59,103.293,4,184,0,0,37,0,262426,17,nominee
0.418,0.966,9,-5.075,1,0.115,0.00443,0.11,0.751,0.601,123.03,4,184,0,0,34,0,331466,17,nominee
0.505,0.518,2,-8.601,1,0.023,0.403,0.0,0.129,0.472,81.019,4,165,0,0,51,0,247306,10,nominee
0.365,0.389,10,-13.191,0,0.0334,0.119,0.214,0.0974,0.189,111.793,4,184,0,0,36,0,284173,10,nominee
0.627,0.467,9,-9.81,1,0.0321,0.00286,0.0,0.11,0.61,113.01,4,184,0,0,42,0,240613,10,nominee
