track_album_id,album_name,artist,featured_artist_album,featured_artist_track_mean,duration_album,duration_track_mean,danceability_mean,energy_mean,key_mode,loudness_mean,mode_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,time_signature_mean,avaliable_markets,explicit_tracks,track_popularity,release_date,release_date_precision
2Q9oTK48eb85waX1fFJsvj,The Truth About Love,P!nk,3,0.17647058823529413,4034487,237322.76470588235,0.565,0.7501764705882353,1,-4.962882352941176,1,0.07475294117647059,0.11130376470588235,3.344117647058824e-5,0.18120588235294116,0.5532941176470588,122.83817647058824,4,185,7,47.76470588235294,2012,day
2QJmrSgbdM35R67eoGQo4j,1989,Taylor Swift,0,0,2927864,225220.3076923077,0.6493846153846154,0.6990769230769232,7,-6.237384615384616,1,0.0663,0.11304076923076924,9.589569230769231e-4,0.15457692307692308,0.4626,124.08930769230768,4,2,0,52.15384615384615,2014,day
2TkOhyL6D0hgVsyz31vKWa,Songs From The West Coast,Elton John,1,0.07692307692307693,3507994,269845.6923076923,0.587076923076923,0.7163076923076923,0,-6.217,1,0.03192307692307692,0.18635384615384615,0.0015611784615384616,0.12630769230769232,0.5263846153846153,129.27723076923075,4,184,0,8.615384615384615,2002,day
2Tz88LCwtg5sli8x2YjJyF,Hell Freezes Over (Remaster 2018),Eagles,0,0,4451222,296748.13333333336,0.5034,0.5636666666666666,7,-9.0056,1,0.04332,0.4555666666666667,0.011695493333333333,0.6902466666666667,0.4054,105.74946666666666,4,184,0,43.4,1994,day
2USigX9DhGuAini71XZEEK,Stripped,Christina Aguilera,2,0.1,4666207,233310.35,0.5112,0.6207,8,-5.95055,1,0.119575,0.295821,1.161305e-4,0.28668,0.370495,116.38225,4,185,0,43.05,2002,day
2VP96XdMOKTXefI8Nui23s,Shawn Mendes,Shawn Mendes,2,0.14285714285714285,2654956,189639.7142857143,0.7052142857142857,0.5124285714285715,5,-7.985285714285714,1,0.1413,0.41525,7.757857142857143e-6,0.12061428571428572,0.5759285714285715,125.01357142857142,4,184,0,55.357142857142854,2018,day
2WFFcvzM0CgLaSq4MSkyZk,- (Deluxe),Ed Sheeran,0,0,3692848,205158.22222222222,0.6121666666666666,0.39772222222222225,0,-7.831611111111111,1,0.03673888888888889,0.6668333333333333,0.0010705883333333333,0.15005,0.37044444444444447,128.40527777777777,4,184,0,52.388888888888886,2023,day
2btszoya78vyT8fwelmVnz,"How Big, How Blue, How Beautiful",Florence + The Machine,0,0,2929724,266338.54545454547,0.41609090909090907,0.6749090909090909,9,-5.877454545454546,0,0.04549090909090909,0.31012454545454543,6.877627272727272e-4,0.13998181818181818,0.2934181818181818,123.74463636363636,4,3,0,33.27272727272727,2015,day
2cWtnFvM7BmyQG1ojQDcCT,Long Road out of Eden,Eagles,0,0,5453874,272693.7,0.60775,0.541135,0,-8.67975,1,0.0319,0.345806,0.049678523499999995,0.14549,0.5446,113.34885,4,184,0,32.8,2007,day
2eQMC9nJE3f3hCNKlYYHL1,Teenage Dream,Katy Perry,1,0.08333333333333333,2809311,234109.25,0.65625,0.7494166666666666,0,-4.751916666666666,1,0.057958333333333334,0.1041385,2.9358333333333333e-6,0.211175,0.6053333333333333,132.91091666666668,4,3,2,51.916666666666664,2010,day
2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),Sia,3,0.15789473684210525,4459100,234689.47368421053,0.521578947368421,0.7372631578947368,6,-4.862368421052632,0,0.08702105263157894,0.14023131578947368,0.02681896052631579,0.17042631578947368,0.4146263157894737,128.21442105263156,4,172,0,52.21052631578947,2016,day
2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",Ariana Grande,0,0,2470209,205850.75,0.6719166666666667,0.5259166666666667,1,-6.622416666666667,1,0.13810833333333333,0.298075,0.0045768883333333335,0.15515,0.389,113.19233333333334,4,179,9,67.91666666666667,2019,day
2fenSS68JI1h4Fo296JfGr,folklore,Taylor Swift,1,0.0625,3816587,238536.6875,0.5575,0.4250625,0,-10.2470625,1,0.04054375,0.7108125000000001,2.10954375e-4,0.112625,0.380875,116.147,4,184,5,71.5,2020,day
