danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.466,0.226,7,-8.913,1,0.0287,0.91,5.89e-06,0.956,0.238,107.07,4,185,0,0,32,0,277493,12,winner
0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,4,185,0,0,74,0,201173,12,winner
0.842,0.384,9,-11.384,0,0.0353,0.638,0.000487,0.0998,0.604,84.026,4,185,0,0,54,0,292013,12,winner
0.664,0.735,5,-8.024,1,0.0343,0.033,0.0413,0.0801,0.841,101.346,4,185,0,0,52,0,242333,12,winner
0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,3,185,0,0,72,0,245826,12,winner
0.495,0.238,1,-11.026,1,0.03,0.958,0.0118,0.0875,0.357,175.958,4,185,0,0,62,0,198200,12,winner
0.881,0.478,4,-10.386,1,0.0304,0.476,0.00574,0.0737,0.803,97.807,4,185,0,0,58,0,250840,12,winner
0.619,0.437,7,-11.756,1,0.0314,0.465,0.00619,0.0971,0.408,89.508,4,185,0,0,60,0,285053,12,winner
0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5,185,0,0,75,0,242000,12,winner
0.439,0.59,1,-6.407,1,0.0417,0.0995,0.00221,0.0718,0.4,125.897,4,185,0,0,47,0,258160,12,winner
0.61,0.349,0,-9.321,1,0.0301,0.554,0.0099,0.201,0.155,136.012,4,185,0,0,54,0,245746,12,winner
0.427,0.588,2,-6.721,1,0.0293,0.0538,0.0014,0.0697,0.394,145.099,4,185,0,0,48,0,367813,12,winner
0.511,0.34,9,-9.928,1,0.0299,0.821,0.00876,0.0763,0.269,75.328,3,185,0,0,50,0,163026,12,winner
0.424,0.885,7,-3.654,1,0.0332,0.0226,0.016,0.235,0.378,88.006,4,3,0,0,21,0,252800,10,winner
0.493,0.59,0,-5.814,0,0.0392,0.339,0.0,0.121,0.502,169.908,4,3,0,0,49,0,226386,10,winner
0.446,0.81,9,-5.529,1,0.0436,0.0393,0.0,0.214,0.613,178.135,4,3,0,0,15,0,250266,10,winner
